ID_ESPACIA;NOMBRE_DPT2;REGION;POB_2018;POB_2023;REGN
18;CAQUETÁ;AMAZONAS;401849;423857;1
50;META;AMAZONAS;1039722;1088749;1
81;ARAUCA;AMAZONAS;262174;308301;1
85;CASANARE;AMAZONAS;420504;444602;1
86;PUTUMAYO;AMAZONAS;348182;374042;1
91;AMAZONAS;AMAZONAS;76589;83808;1
94;GUAINIA;AMAZONAS;48114;52627;1
95;GUAVIARE;AMAZONAS;82767;92281;1
97;VAUPES;AMAZONAS;40797;51133;1
99;VICHADA;AMAZONAS;107808;116944;1
5;ANTIOQUIA;CAFETERA;6407102;6994792;2
17;CALDAS;CAFETERA;998255;1046418;2
63;QUINDIO;CAFETERA;539904;577543;2
66;RISARALDA;CAFETERA;943401;988091;2
8;ATLANTICO;CARIBE;2535517;2835509;3
13;BOLÍVAR;CARIBE;2070110;2258929;3
20;CESAR;CARIBE;1200574;1359719;3
23;CÓRDOBA;CARIBE;1784783;1868166;3
44;LA GUAJIRA;CARIBE;880560;1015909;3
47;MAGDALENA;CARIBE;1341746;1476665;3
70;SUCRE;CARIBE;904863;981727;3
88;ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA;CARIBE;61280;65663;3
11;BOGOTÁ;CENTRO;7412566;7968095;4
15;BOYACÁ;CENTRO;1217376;1267378;4
25;CUNDINAMARCA;CENTRO;2919060;3577177;4
41;HUILA;CENTRO;1100386;1149598;4
73;TOLIMA;CENTRO;1330187;1350060;4
54;NORTE DE SANTANDER;ORIENTE;1491689;1658835;5
68;SANTANDER;ORIENTE;2184837;2340657;5
19;CAUCA;PACIFICA;1464488;1528076;6
27;CHOCÓ;PACIFICA;534826;557654;6
52;NARIÑO;PACIFICA;1630592;1631117;6
76;VALLE DEL CAUCA;PACIFICA;4475886;4622132;6
